Zip Code,Population
"ZCTA5 06390, New York",236
"ZCTA5 10001, New York",21102
"ZCTA5 10002, New York",81410
"ZCTA5 10003, New York",56024
"ZCTA5 10004, New York",3089
"ZCTA5 10005, New York",7135
"ZCTA5 10006, New York",3011
"ZCTA5 10007, New York",6988
"ZCTA5 10009, New York",61347
"ZCTA5 10010, New York",31834
"ZCTA5 10011, New York",50984
"ZCTA5 10012, New York",24090
"ZCTA5 10013, New York",27700
"ZCTA5 10014, New York",31959
"ZCTA5 10016, New York",54183
"ZCTA5 10017, New York",16575
"ZCTA5 10018, New York",5229
"ZCTA5 10019, New York",42870
"ZCTA5 10020, New York",0
"ZCTA5 10021, New York",43631
"ZCTA5 10022, New York",31924
"ZCTA5 10023, New York",60998
"ZCTA5 10024, New York",59283
"ZCTA5 10025, New York",94600
"ZCTA5 10026, New York",34003
"ZCTA5 10027, New York",59707
"ZCTA5 10028, New York",45141
"ZCTA5 10029, New York",76003
"ZCTA5 10030, New York",26999
"ZCTA5 10031, New York",56438
"ZCTA5 10032, New York",57331
"ZCTA5 10033, New York",53926
"ZCTA5 10034, New York",38908
"ZCTA5 10035, New York",33969
"ZCTA5 10036, New York",24711
"ZCTA5 10037, New York",17416
"ZCTA5 10038, New York",20300
"ZCTA5 10039, New York",24527
"ZCTA5 10040, New York",41905
"ZCTA5 10044, New York",11661
"ZCTA5 10065, New York",32270
"ZCTA5 10069, New York",5199
"ZCTA5 10075, New York",26121
"ZCTA5 10103, New York",3
"ZCTA5 10110, New York",0
"ZCTA5 10111, New York",0
"ZCTA5 10112, New York",0
"ZCTA5 10115, New York",0
"ZCTA5 10119, New York",92
"ZCTA5 10128, New York",60453
"ZCTA5 10152, New York",0
"ZCTA5 10153, New York",0
"ZCTA5 10154, New York",0
"ZCTA5 10162, New York",1685
"ZCTA5 10165, New York",2
"ZCTA5 10167, New York",0
"ZCTA5 10168, New York",0
"ZCTA5 10169, New York",0
"ZCTA5 10170, New York",2
"ZCTA5 10171, New York",0
"ZCTA5 10172, New York",0
"ZCTA5 10173, New York",2
"ZCTA5 10174, New York",0
"ZCTA5 10177, New York",0
"ZCTA5 10199, New York",9
"ZCTA5 10271, New York",0
"ZCTA5 10278, New York",0
"ZCTA5 10279, New York",0
"ZCTA5 10280, New York",7853
"ZCTA5 10282, New York",4783
"ZCTA5 10301, New York",39706
"ZCTA5 10302, New York",19088
"ZCTA5 10303, New York",26337
"ZCTA5 10304, New York",42193
"ZCTA5 10305, New York",41749
"ZCTA5 10306, New York",55909
"ZCTA5 10307, New York",14096
"ZCTA5 10308, New York",27357
"ZCTA5 10309, New York",32519
"ZCTA5 10310, New York",24962
"ZCTA5 10311, New York",0
"ZCTA5 10312, New York",59304
"ZCTA5 10314, New York",85510
"ZCTA5 10451, New York",45713
"ZCTA5 10452, New York",75371
"ZCTA5 10453, New York",78309
"ZCTA5 10454, New York",37337
"ZCTA5 10455, New York",39665
"ZCTA5 10456, New York",86547
"ZCTA5 10457, New York",70496
"ZCTA5 10458, New York",79492
"ZCTA5 10459, New York",47308
"ZCTA5 10460, New York",57311
"ZCTA5 10461, New York",50502
"ZCTA5 10462, New York",75784
"ZCTA5 10463, New York",67970
"ZCTA5 10464, New York",4534
"ZCTA5 10465, New York",42230
"ZCTA5 10466, New York",67813
"ZCTA5 10467, New York",97060
"ZCTA5 10468, New York",76103
"ZCTA5 10469, New York",66631
"ZCTA5 10470, New York",15293
"ZCTA5 10471, New York",22922
"ZCTA5 10472, New York",66358
"ZCTA5 10473, New York",58519
"ZCTA5 10474, New York",12281
"ZCTA5 10475, New York",40931
"ZCTA5 10501, New York",1219
"ZCTA5 10502, New York",5487
"ZCTA5 10503, New York",108
"ZCTA5 10504, New York",7987
"ZCTA5 10505, New York",851
"ZCTA5 10506, New York",5790
"ZCTA5 10507, New York",6408
"ZCTA5 10509, New York",19507
"ZCTA5 10510, New York",9988
"ZCTA5 10511, New York",2246
"ZCTA5 10512, New York",25590
"ZCTA5 10514, New York",11946
"ZCTA5 10516, New York",5289
"ZCTA5 10517, New York",539
"ZCTA5 10518, New York",1268
"ZCTA5 10519, New York",316
"ZCTA5 10520, New York",12810
"ZCTA5 10522, New York",10875
"ZCTA5 10523, New York",7444
"ZCTA5 10524, New York",4421
"ZCTA5 10526, New York",1809
"ZCTA5 10527, New York",908
"ZCTA5 10528, New York",12280
"ZCTA5 10530, New York",12604
"ZCTA5 10532, New York",4931
"ZCTA5 10533, New York",7322
"ZCTA5 10535, New York",555
"ZCTA5 10536, New York",10739
"ZCTA5 10537, New York",2416
"ZCTA5 10538, New York",16597
"ZCTA5 10541, New York",26339
"ZCTA5 10543, New York",20135
"ZCTA5 10545, New York",141
"ZCTA5 10546, New York",1277
"ZCTA5 10547, New York",7647
"ZCTA5 10548, New York",3487
"ZCTA5 10549, New York",16638
"ZCTA5 10550, New York",37144
"ZCTA5 10552, New York",19786
"ZCTA5 10553, New York",10170
"ZCTA5 10560, New York",4737
"ZCTA5 10562, New York",31796
"ZCTA5 10566, New York",23570
"ZCTA5 10567, New York",19929
"ZCTA5 10570, New York",12680
"ZCTA5 10573, New York",38352
"ZCTA5 10576, New York",5116
"ZCTA5 10577, New York",6552
"ZCTA5 10578, New York",681
"ZCTA5 10579, New York",8675
