Zip.Code,Median Household Income
ZCTA5 06390,152652
ZCTA5 07421,94375
ZCTA5 10001,85168
ZCTA5 10002,35594
ZCTA5 10003,100791
ZCTA5 10004,123056
ZCTA5 10005,130116
ZCTA5 10006,125364
ZCTA5 10007,234958
ZCTA5 10009,60788
ZCTA5 10010,110142
ZCTA5 10011,114134
ZCTA5 10012,101815
ZCTA5 10013,104167
ZCTA5 10014,119026
ZCTA5 10016,102703
ZCTA5 10017,106795
ZCTA5 10018,105479
ZCTA5 10019,94477
ZCTA5 10020,
ZCTA5 10021,115681
ZCTA5 10022,123693
ZCTA5 10023,115080
ZCTA5 10024,118594
ZCTA5 10025,80025
ZCTA5 10026,52082
ZCTA5 10027,42754
ZCTA5 10028,111302
ZCTA5 10029,32500
ZCTA5 10030,33720
ZCTA5 10031,41848
ZCTA5 10032,40054
ZCTA5 10033,46349
ZCTA5 10034,45643
ZCTA5 10035,26893
ZCTA5 10036,83812
ZCTA5 10037,39463
ZCTA5 10038,82910
ZCTA5 10039,32257
ZCTA5 10040,45811
ZCTA5 10044,86483
ZCTA5 10065,118310
ZCTA5 10069,155702
ZCTA5 10075,114481
ZCTA5 10103,
ZCTA5 10110,
ZCTA5 10111,
ZCTA5 10112,
ZCTA5 10115,
ZCTA5 10119,
ZCTA5 10128,103817
ZCTA5 10152,
ZCTA5 10153,
ZCTA5 10154,
ZCTA5 10162,178822
ZCTA5 10165,
ZCTA5 10167,
ZCTA5 10168,
ZCTA5 10169,
ZCTA5 10170,
ZCTA5 10171,
ZCTA5 10172,
ZCTA5 10173,
ZCTA5 10174,
ZCTA5 10177,
ZCTA5 10199,
ZCTA5 10271,
ZCTA5 10278,
ZCTA5 10279,
ZCTA5 10280,146875
ZCTA5 10282,
ZCTA5 10301,55700
ZCTA5 10302,55864
ZCTA5 10303,55198
ZCTA5 10304,53843
ZCTA5 10305,74063
ZCTA5 10306,78745
ZCTA5 10307,77278
ZCTA5 10308,87493
ZCTA5 10309,93248
ZCTA5 10310,69201
ZCTA5 10311,
ZCTA5 10312,88567
ZCTA5 10314,77761
ZCTA5 10451,26419
ZCTA5 10452,25771
ZCTA5 10453,22914
ZCTA5 10454,21553
ZCTA5 10455,23962
ZCTA5 10456,25868
ZCTA5 10457,25967
ZCTA5 10458,30339
ZCTA5 10459,24805
ZCTA5 10460,24086
ZCTA5 10461,55332
ZCTA5 10462,48315
ZCTA5 10463,56568
ZCTA5 10464,76917
ZCTA5 10465,73068
ZCTA5 10466,44354
ZCTA5 10467,34964
ZCTA5 10468,34988
ZCTA5 10469,57124
ZCTA5 10470,58839
ZCTA5 10471,81594
ZCTA5 10472,29934
ZCTA5 10473,36686
ZCTA5 10474,26901
ZCTA5 10475,46340
ZCTA5 10501,130313
ZCTA5 10502,161734
ZCTA5 10503,
ZCTA5 10504,213688
ZCTA5 10505,118333
ZCTA5 10506,194917
ZCTA5 10507,66106
ZCTA5 10509,94768
ZCTA5 10510,153152
ZCTA5 10511,99479
ZCTA5 10512,90585
ZCTA5 10514,244527
ZCTA5 10516,93750
ZCTA5 10517,100313
ZCTA5 10518,190058
ZCTA5 10519,
ZCTA5 10520,94261
ZCTA5 10522,120631
ZCTA5 10523,90406
ZCTA5 10524,115833
ZCTA5 10526,123571
ZCTA5 10527,144286
ZCTA5 10528,110417
ZCTA5 10530,101553
ZCTA5 10532,97125
ZCTA5 10533,135697
ZCTA5 10535,65147
ZCTA5 10536,161650
ZCTA5 10537,73235
ZCTA5 10538,153750
ZCTA5 10541,109076
ZCTA5 10543,82265
ZCTA5 10545,
ZCTA5 10546,144167
ZCTA5 10547,96833
ZCTA5 10548,78724
ZCTA5 10549,95704
ZCTA5 10550,42002
ZCTA5 10552,68196
ZCTA5 10553,60403
ZCTA5 10560,129306
ZCTA5 10562,73797
ZCTA5 10566,55453
ZCTA5 10567,118482
ZCTA5 10570,124427
ZCTA5 10573,69523
ZCTA5 10576,180000
ZCTA5 10577,193125
ZCTA5 10578,106176
ZCTA5 10579,120162
ZCTA5 10580,168750
ZCTA5 10583,177332
ZCTA5 10588,73233
ZCTA5 10589,94652
ZCTA5 10590,141646
ZCTA5 10591,79988
ZCTA5 10594,133256
ZCTA5 10595,106331
ZCTA5 10596,70714
ZCTA5 10597,222917
ZCTA5 10598,116741
ZCTA5 10601,70701
ZCTA5 10603,94088
ZCTA5 10604,84741
ZCTA5 10605,108065
ZCTA5 10606,75775
ZCTA5 10607,127232
ZCTA5 10701,45049
ZCTA5 10703,60964
ZCTA5 10704,73956
ZCTA5 10705,46013
ZCTA5 10706,119841
ZCTA5 10707,81818
ZCTA5 10708,105738
ZCTA5 10709,100000
ZCTA5 10710,86132
ZCTA5 10801,57103
ZCTA5 10803,150688
ZCTA5 10804,166000
ZCTA5 10805,62556
ZCTA5 10901,93389
ZCTA5 10910,
ZCTA5 10911,
ZCTA5 10913,123787
ZCTA5 10914,126389
ZCTA5 10915,
ZCTA5 10916,107938
ZCTA5 10917,97778
ZCTA5 10918,98314
ZCTA5 10919,98017
ZCTA5 10920,101250
ZCTA5 10921,85182
ZCTA5 10922,99732
ZCTA5 10923,79317
ZCTA5 10924,93947
ZCTA5 10925,77823
